<Location> second: 1480559243, nanosecond: 171986000, pose_x: 641004.907034015166573, pose_y: 3449731.598706719465554, zone: 40, heading: -1.222953077484276, covariance: 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 </Location>
<Lanemarking>
second: 1480559241, nanosecond: 660835000, sequence: 382
Id: 182, x: 23.079878, y: 1.805038, z: 0.000000
Id: 183, x: 23.479878, y: 1.806137, z: 0.000000
Id: 184, x: 23.879875, y: 1.807233, z: 0.000000
Id: 185, x: 24.279875, y: 1.808324, z: 0.000000
Id: 186, x: 24.679873, y: 1.809411, z: 0.000000
Id: 187, x: 25.079870, y: 1.810495, z: 0.000000
Id: 188, x: 25.479870, y: 1.811574, z: 0.000000
Id: 189, x: 25.879868, y: 1.812649, z: 0.000000
Id: 190, x: 26.279867, y: 1.813721, z: 0.000000
Id: 191, x: 26.679865, y: 1.814788, z: 0.000000
Id: 192, x: 27.079865, y: 1.815852, z: 0.000000
Id: 193, x: 27.479864, y: 1.816911, z: 0.000000
Id: 194, x: 27.879862, y: 1.817966, z: 0.000000
Id: 195, x: 28.279862, y: 1.819018, z: 0.000000
Id: 196, x: 28.679859, y: 1.820065, z: 0.000000
</Lanemarking>
<Lanemarking>
second: 1480559241, nanosecond: 857296000, sequence: 384
Id: 0, x: -2.920000, y: -1.905000, z: 0.000000
Id: 1, x: -2.520002, y: -1.903641, z: 0.000000
Id: 2, x: -2.120005, y: -1.902289, z: 0.000000
Id: 3, x: -1.720007, y: -1.900941, z: 0.000000
Id: 4, x: -1.320009, y: -1.899599, z: 0.000000
Id: 5, x: -0.920011, y: -1.898263, z: 0.000000
Id: 6, x: -0.520013, y: -1.896933, z: 0.000000
Id: 7, x: -0.120016, y: -1.895608, z: 0.000000
Id: 8, x: 0.279982, y: -1.894288, z: 0.000000
Id: 9, x: 0.679980, y: -1.892975, z: 0.000000
Id: 10, x: 1.079978, y: -1.891667, z: 0.000000
Id: 11, x: 1.479976, y: -1.890364, z: 0.000000
Id: 12, x: 1.879973, y: -1.889067, z: 0.000000
Id: 13, x: 2.279972, y: -1.887776, z: 0.000000
Id: 14, x: 2.679969, y: -1.886490, z: 0.000000
Id: 15, x: 3.079968, y: -1.885210, z: 0.000000
Id: 16, x: 3.479965, y: -1.883935, z: 0.000000
Id: 17, x: 3.879963, y: -1.882666, z: 0.000000
Id: 18, x: 4.279961, y: -1.881403, z: 0.000000
Id: 19, x: 4.679959, y: -1.880145, z: 0.000000
Id: 20, x: 5.079958, y: -1.878893, z: 0.000000
